"Data","Var% Dólar Comercial - PTAX Média Mensal, Venda (R$/US$)","Var% Dólar Comercial - PTAX Final do Mês, Venda (R$/US$)","Var% IPCA - Índice de Preços ao Consumidor Ampliado (%)"
"11/1990","29,39","35,31","17,06"
"12/1990","25,54","17,52","9,70"
"01/1991","24,97","29,45","12,53"
"02/1991","14,79","1,49","-0,14"
"03/1991","3,76","6,94","-42,47"
"04/1991","9,60","9,12","-58,14"
"05/1991","8,25","9,19","48,90"
"06/1991","9,12","9,67","50,61"
"07/1991","10,42","11,00","10,90"
"08/1991","12,88","13,62","25,95"
"09/1991","15,53","18,07","0,00"
"10/1991","36,11","38,73","29,43"
"11/1991","26,81","30,29","24,62"
"12/1991","29,38","27,18","-5,95"
"01/1992","25,00","23,45","9,41"
"02/1992","23,49","23,60","-6,25"
"03/1992","22,71","21,90","-12,01"
"04/1992","21,13","20,53","-6,87"
"05/1992","19,60","18,91","24,74"
"06/1992","19,83","20,96","-18,70"
"07/1992","21,57","22,04","8,02"
"08/1992","22,01","21,92","1,42"
"09/1992","23,53","24,81","11,25"
"10/1992","25,01","25,53","2,48"
"11/1992","25,39","23,85","-10,90"
"12/1992","23,26","24,50","12,23"
"01/1993","26,08","26,90","20,25"
"02/1993","27,10","26,32","-17,69"
"03/1993","25,75","26,50","9,13"
"04/1993","27,86","28,45","1,80"
"05/1993","28,93","29,23","-0,22"
"06/1993","29,88","30,30","8,60"
"07/1993","30,49","30,95","2,16"
"08/1993","31,81","33,03","7,29"
"09/1993","34,38","35,30","8,28"
"10/1993","36,01","35,87","-4,96"
"11/1993","36,10","35,62","4,83"
"12/1993","35,74","38,19","3,60"
"01/1994","39,89","40,65","12,13"
"02/1994","40,93","38,98","-2,52"
"03/1994","39,45","43,28","6,16"
"04/1994","44,45","42,58","-0,16"
"05/1994","42,89","44,00","3,16"
"06/1994","44,83","46,65","7,72"
"07/1994","11,77","-6,00","-85,58"
"08/1994","-3,72","-5,43","-72,81"
"09/1994","-3,72","-4,05","-17,74"
"10/1994","-2,22","-0,82","71,24"
"11/1994","-0,50","-0,12","7,25"
"12/1994","0,99","0,12","-39,15"
"01/1995","-0,35","-0,47","-0,58"
"02/1995","-0,74","1,13","-40,00"
"03/1995","5,78","5,23","51,96"
"04/1995","2,04","1,90","56,77"
"05/1995","-1,11","-0,77","9,88"
"06/1995","1,85","1,77","-15,36"
"07/1995","1,62","1,52","4,42"
"08/1995","1,42","1,60","-58,05"
"09/1995","1,15","0,32","0,00"
"10/1995","0,72","0,83","42,42"
"11/1995","0,39","0,49","4,26"
"12/1995","0,51","0,61","6,12"
"01/1996","0,64","0,63","-14,10"
"02/1996","0,68","0,57","-23,13"
"03/1996","0,51","0,39","-66,02"
"04/1996","0,42","0,46","260,00"
"05/1996","0,52","0,59","-3,17"
"06/1996","0,60","0,60","-2,46"
"07/1996","0,56","0,68","-6,72"
"08/1996","0,65","0,56","-60,36"
"09/1996","0,58","0,45","-65,91"
"10/1996","0,57","0,60","100,00"
"11/1996","0,52","0,54","6,67"
"12/1996","0,67","0,60","46,87"
"01/1997","0,54","0,64","151,06"
"02/1997","0,61","0,52","-57,63"
"03/1997","0,71","0,74","2,00"
"04/1997","0,40","0,42","72,55"
"05/1997","0,70","0,74","-53,41"
"06/1997","0,59","0,49","31,71"
"07/1997","0,57","0,60","-59,26"
"08/1997","0,67","0,76","-109,09"
"09/1997","0,52","0,44","-400,00"
"10/1997","0,59","0,61","283,33"
"11/1997","0,65","0,61","-26,09"
"12/1997","0,57","0,59","152,94"
"01/1998","0,57","0,65","65,12"
"02/1998","0,64","0,60","-35,21"
"03/1998","0,59","0,62","-26,09"
"04/1998","0,66","0,61","-29,41"
"05/1998","0,60","0,54","108,33"
"06/1998","0,57","0,56","-96,00"
"07/1998","0,60","0,56","-700,00"
"08/1998","0,88","1,16","325,00"
"09/1998","0,79","0,74","-56,86"
"10/1998","0,64","0,64","-109,09"
"11/1998","0,45","0,67","-700,00"
"12/1998","0,98","0,62","-375,00"
"01/1999","24,60","64,08","112,12"
"02/1999","27,42","4,11","50,00"
"03/1999","-0,88","-16,60","4,76"
"04/1999","-10,69","-3,56","-49,09"
"05/1999","-0,63","3,81","-46,43"
"06/1999","4,86","2,64","-36,67"
"07/1999","1,98","1,11","473,68"
"08/1999","4,47","7,08","-48,62"
"09/1999","0,93","0,33","-44,64"
"10/1999","3,76","1,60","283,87"
"11/1999","-2,01","-1,55","-20,17"
"12/1999","-4,51","-6,95","-36,84"
"01/2000","-2,12","0,75","3,33"
"02/2000","-1,57","-1,88","-79,03"
"03/2000","-1,88","-1,20","69,23"
"04/2000","1,50","3,40","90,91"
"05/2000","3,38","1,10","-97,62"
"06/2000","-1,07","-1,46","2200,00"
"07/2000","-0,58","-1,40","600,00"
"08/2000","0,63","2,74","-18,63"
"09/2000","1,66","1,11","-82,44"
"10/2000","2,20","3,54","-39,13"
"11/2000","3,64","2,65","128,57"
"12/2000","0,79","-0,21","84,38"
"01/2001","-0,45","0,80","-3,39"
"02/2001","2,43","3,76","-19,30"
"03/2001","4,35","5,69","-17,39"
"04/2001","4,95","1,07","52,63"
"05/2001","4,78","8,02","-29,31"
"06/2001","3,42","-2,33","26,83"
"07/2001","3,80","5,48","155,77"
"08/2001","1,81","4,95","-47,37"
"09/2001","6,42","4,69","-60,00"
"10/2001","2,56","1,34","196,43"
"11/2001","-7,19","-6,59","-14,46"
"12/2001","-7,09","-8,24","-8,45"
"01/2002","0,64","4,22","-20,00"
"02/2002","1,75","-2,90","-30,77"
"03/2002","-3,02","-1,05","66,67"
"04/2002","-1,12","1,67","33,33"
"05/2002","6,90","6,75","-73,75"
"06/2002","9,42","12,78","100,00"
"07/2002","8,13","20,54","183,33"
"08/2002","5,98","-11,85","-45,38"
"09/2002","7,46","28,87","10,77"
"10/2002","13,88","-6,42","81,94"
"11/2002","-6,03","-0,23","130,53"
"12/2002","1,38","-2,84","-30,46"
"01/2003","-5,17","-0,21","7,14"
"02/2003","4,43","1,06","-30,22"
"03/2003","-4,01","-5,90","-21,66"
"04/2003","-9,52","-13,82","-21,14"
"05/2003","-5,23","2,62","-37,11"
"06/2003","-2,45","-3,16","-124,59"
"07/2003","-0,12","3,26","-233,33"
"08/2003","4,26","0,03","70,00"
"09/2003","-2,65","-1,45","129,41"
"10/2003","-2,10","-2,30","-62,82"
"11/2003","1,83","3,26","17,24"
"12/2003","0,39","-2,04","52,94"
"01/2004","-2,51","1,79","46,15"
