Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,5.396500,5.494700,5.385089,5.389800,5.389800,0
2020-09-22,5.413000,5.472100,5.381000,5.412600,5.412600,0
2020-09-23,5.470500,5.556800,5.467055,5.469900,5.469900,0
2020-09-24,5.592100,5.621200,5.529300,5.592400,5.592400,0
2020-09-25,5.508400,5.586000,5.506018,5.508400,5.508400,0
2020-09-28,5.558600,5.620700,5.512735,5.561100,5.561100,0
2020-09-29,5.660100,5.667500,5.608400,5.660200,5.660200,0
2020-09-30,5.630500,5.665300,5.605298,5.630500,5.630500,0
2020-10-01,5.609300,5.653700,5.576709,5.608400,5.608400,0
2020-10-02,5.642400,5.683500,5.605516,5.642000,5.642000,0
2020-10-05,5.684200,5.687300,5.608517,5.681600,5.681600,0
2020-10-06,5.573400,5.574500,5.484500,5.573400,5.573400,0
2020-10-07,5.592800,5.634000,5.551000,5.593800,5.593800,0
2020-10-08,5.611000,5.643100,5.581089,5.611300,5.611300,0
2020-10-09,5.598900,5.599800,5.510700,5.598600,5.598600,0
2020-10-12,5.524900,5.532300,5.524600,5.529000,5.529000,0
2020-10-13,5.530000,5.622600,5.521700,5.529700,5.529700,0
2020-10-14,5.567900,5.580483,5.533100,5.568500,5.568500,0
2020-10-15,5.590700,5.644000,5.588037,5.590500,5.590500,0
2020-10-16,5.610700,5.639400,5.597900,5.611200,5.611200,0
2020-10-19,5.644800,5.645900,5.568535,5.644800,5.644800,0
2020-10-20,5.605600,5.623900,5.566300,5.605600,5.605600,0
2020-10-21,5.604200,5.625500,5.571000,5.604200,5.604200,0
2020-10-22,5.607100,5.623900,5.573200,5.607800,5.607800,0
2020-10-23,5.591200,5.630700,5.563704,5.591300,5.591300,0
2020-10-26,5.618200,5.660200,5.611600,5.616200,5.616200,0
2020-10-27,5.622700,5.656300,5.599400,5.622700,5.622700,0
2020-10-28,5.705100,5.788600,5.699979,5.705200,5.705200,0
2020-10-29,5.745000,5.786300,5.742500,5.744900,5.744900,0
2020-10-30,5.777400,5.803500,5.735548,5.777800,5.777800,0
2020-11-02,5.738200,5.774000,5.722023,5.741400,5.741400,0
2020-11-03,5.741200,5.742300,5.650600,5.741100,5.741100,0
2020-11-04,5.755400,5.761800,5.647900,5.754900,5.754900,0
2020-11-05,5.662700,5.663800,5.539300,5.663000,5.663000,0
2020-11-06,5.523600,5.571600,5.452600,5.523400,5.523400,0
2020-11-09,5.364600,5.378500,5.223600,5.362700,5.362700,0
2020-11-10,5.384100,5.405700,5.335909,5.384700,5.384700,0
2020-11-11,5.413800,5.447700,5.376100,5.413900,5.413900,0
2020-11-12,5.390400,5.431000,5.353400,5.390000,5.390000,0
2020-11-13,5.455061,5.522600,5.451171,5.456700,5.456700,0
2020-11-16,5.458100,5.458100,5.366200,5.457000,5.457000,0
2020-11-17,5.414900,5.419800,5.337858,5.414900,5.414900,0
2020-11-18,5.327600,5.338800,5.275787,5.327200,5.327200,0
2020-11-19,5.361500,5.371300,5.295114,5.361700,5.361700,0
2020-11-20,5.304300,5.389800,5.285496,5.304500,5.304500,0
2020-11-23,5.379200,5.446000,5.340487,5.378100,5.378100,0
2020-11-24,5.439400,5.444400,5.376184,5.440600,5.440600,0
2020-11-25,5.372600,5.395500,5.313000,5.372600,5.372600,0
2020-11-26,5.322000,5.355800,5.304300,5.322600,5.322600,0
2020-11-27,5.335300,5.376400,5.298853,5.335300,5.335300,0
2020-11-30,5.344000,5.391400,5.275783,5.342500,5.342500,0
2020-12-01,5.331100,5.359700,5.243200,5.331100,5.331100,0
2020-12-02,5.204800,5.251585,5.203080,5.204900,5.204900,0
2020-12-03,5.216100,5.226800,5.118926,5.216300,5.216300,0
2020-12-04,5.151100,5.182300,5.124400,5.151000,5.151000,0
2020-12-07,5.155500,5.167300,5.055500,5.154400,5.154400,0
2020-12-08,5.098400,5.124400,5.063200,5.098300,5.098300,0
2020-12-09,5.119300,5.161300,5.087300,5.119700,5.119700,0
2020-12-10,5.169700,5.170100,5.042800,5.169700,5.169700,0
2020-12-11,5.024000,5.086400,5.022274,5.024200,5.024200,0
2020-12-14,5.065600,5.127600,5.009974,5.064200,5.064200,0
2020-12-15,5.117800,5.121400,5.075800,5.117700,5.117700,0
2020-12-16,5.080800,5.136353,5.066868,5.078884,5.078884,0
2020-12-17,5.082400,5.084800,5.041700,5.083200,5.083200,0
2020-12-18,5.057000,5.114600,5.054705,5.056900,5.056900,0
2020-12-21,5.101000,5.220300,5.097700,5.100600,5.100600,0
2020-12-22,5.121800,5.168300,5.102396,5.118938,5.118938,0
2020-12-23,5.156904,5.209900,5.127974,5.156655,5.156655,0
2020-12-24,5.215500,5.216200,5.209800,5.215300,5.215300,0
2020-12-25,5.215300,5.217800,5.198794,5.215300,5.215300,0
2020-12-28,5.175400,5.305500,5.162493,5.215300,5.215300,0
2020-12-29,5.245200,5.246200,5.164862,5.245900,5.245900,0
2020-12-30,5.208600,5.230639,5.156010,5.208600,5.208600,0
2020-12-31,5.190624,5.191561,5.172470,5.190839,5.190839,0
2021-01-01,5.192100,5.199149,5.191600,5.192100,5.192100,0
2021-01-04,5.172800,5.252800,5.116400,5.191900,5.191900,0
2021-01-05,5.295000,5.350300,5.274600,5.295300,5.295300,0
2021-01-06,5.284500,5.346680,5.231207,5.284100,5.284100,0
2021-01-07,5.313300,5.405568,5.296700,5.312900,5.312900,0
2021-01-08,5.408700,5.411400,5.320400,5.408800,5.408800,0
2021-01-11,5.417500,5.512000,5.414600,5.412188,5.412188,0
2021-01-12,5.488300,5.490200,5.405770,5.487700,5.487700,0
2021-01-13,5.321100,5.350000,5.268500,5.321400,5.321400,0
2021-01-14,5.297800,5.301479,5.211100,5.297500,5.297500,0
2021-01-15,5.195800,5.291640,5.193143,5.195800,5.195800,0
2021-01-18,5.289600,5.320600,5.235958,5.291300,5.291300,0
2021-01-19,5.295000,5.345800,5.244100,5.294800,5.294800,0
2021-01-20,5.356200,5.357400,5.275000,5.356700,5.356700,0
2021-01-21,5.290300,5.396900,5.233826,5.290500,5.290500,0
2021-01-22,5.349400,5.461700,5.346981,5.349500,5.349500,0
2021-01-25,5.466000,5.467300,5.463300,5.465500,5.465500,0
2021-01-26,5.463792,5.470500,5.341591,5.465500,5.465500,0
2021-01-27,5.354000,5.417300,5.349200,5.353800,5.353800,0
2021-01-28,5.411900,5.454100,5.388964,5.412600,5.412600,0
2021-01-29,5.437484,5.503700,5.411807,5.437989,5.437989,0
2021-02-01,5.460800,5.482500,5.417943,5.460800,5.460800,0
2021-02-02,5.431200,5.433500,5.353200,5.430500,5.430500,0
2021-02-03,5.365369,5.390500,5.321300,5.366900,5.366900,0
2021-02-04,5.350557,5.427600,5.336679,5.352000,5.352000,0
2021-02-05,5.425600,5.453100,5.344792,5.425700,5.425700,0
2021-02-08,5.370200,5.416100,5.307300,5.369200,5.369200,0
2021-02-09,5.364300,5.444800,5.357335,5.364300,5.364300,0
2021-02-10,5.376600,5.432100,5.353300,5.376700,5.376700,0
2021-02-11,5.384900,5.392500,5.333690,5.384900,5.384900,0
