"Data","Var% Dólar Comercial - PTAX Média Mensal, Venda (R$/US$)","Var% Dólar Comercial - PTAX Final do Mês, Venda (R$/US$)"
"06/1994","44,83","46,65"
"07/1994","11,77","-6,00"
"08/1994","-3,72","-5,43"
"09/1994","-3,72","-4,05"
"10/1994","-2,22","-0,82"
"11/1994","-0,50","-0,12"
"12/1994","0,99","0,12"
"01/1995","-0,35","-0,47"
"02/1995","-0,74","1,13"
"03/1995","5,78","5,23"
"04/1995","2,04","1,90"
"05/1995","-1,11","-0,77"
"06/1995","1,85","1,77"
"07/1995","1,62","1,52"
"08/1995","1,42","1,60"
"09/1995","1,15","0,32"
"10/1995","0,72","0,83"
"11/1995","0,39","0,49"
"12/1995","0,51","0,61"
"01/1996","0,64","0,63"
"02/1996","0,68","0,57"
"03/1996","0,51","0,39"
"04/1996","0,42","0,46"
"05/1996","0,52","0,59"
"06/1996","0,60","0,60"
"07/1996","0,56","0,68"
"08/1996","0,65","0,56"
"09/1996","0,58","0,45"
"10/1996","0,57","0,60"
"11/1996","0,52","0,54"
"12/1996","0,67","0,60"
"01/1997","0,54","0,64"
"02/1997","0,61","0,52"
"03/1997","0,71","0,74"
"04/1997","0,40","0,42"
"05/1997","0,70","0,74"
"06/1997","0,59","0,49"
"07/1997","0,57","0,60"
"08/1997","0,67","0,76"
"09/1997","0,52","0,44"
"10/1997","0,59","0,61"
"11/1997","0,65","0,61"
"12/1997","0,57","0,59"
"01/1998","0,57","0,65"
"02/1998","0,64","0,60"
"03/1998","0,59","0,62"
"04/1998","0,66","0,61"
"05/1998","0,60","0,54"
"06/1998","0,57","0,56"
"07/1998","0,60","0,56"
"08/1998","0,88","1,16"
"09/1998","0,79","0,74"
"10/1998","0,64","0,64"
"11/1998","0,45","0,67"
"12/1998","0,98","0,62"
"01/1999","24,60","64,08"
"02/1999","27,42","4,11"
"03/1999","-0,88","-16,60"
"04/1999","-10,69","-3,56"
"05/1999","-0,63","3,81"
"06/1999","4,86","2,64"
"07/1999","1,98","1,11"
"08/1999","4,47","7,08"
"09/1999","0,93","0,33"
"10/1999","3,76","1,60"
"11/1999","-2,01","-1,55"
"12/1999","-4,51","-6,95"
"01/2000","-2,12","0,75"
"02/2000","-1,57","-1,88"
"03/2000","-1,88","-1,20"
"04/2000","1,50","3,40"
"05/2000","3,38","1,10"
"06/2000","-1,07","-1,46"
"07/2000","-0,58","-1,40"
"08/2000","0,63","2,74"
"09/2000","1,66","1,11"
"10/2000","2,20","3,54"
"11/2000","3,64","2,65"
"12/2000","0,79","-0,21"
"01/2001","-0,45","0,80"
"02/2001","2,43","3,76"
"03/2001","4,35","5,69"
"04/2001","4,95","1,07"
"05/2001","4,78","8,02"
"06/2001","3,42","-2,33"
"07/2001","3,80","5,48"
"08/2001","1,81","4,95"
"09/2001","6,42","4,69"
"10/2001","2,56","1,34"
"11/2001","-7,19","-6,59"
"12/2001","-7,09","-8,24"
"01/2002","0,64","4,22"
"02/2002","1,75","-2,90"
"03/2002","-3,02","-1,05"
"04/2002","-1,12","1,67"
"05/2002","6,90","6,75"
"06/2002","9,42","12,78"
"07/2002","8,13","20,54"
"08/2002","5,98","-11,85"
"09/2002","7,46","28,87"
"10/2002","13,88","-6,42"
"11/2002","-6,03","-0,23"
"12/2002","1,38","-2,84"
"01/2003","-5,17","-0,21"
"02/2003","4,43","1,06"
"03/2003","-4,01","-5,90"
"04/2003","-9,52","-13,82"
"05/2003","-5,23","2,62"
"06/2003","-2,45","-3,16"
"07/2003","-0,12","3,26"
"08/2003","4,26","0,03"
"09/2003","-2,65","-1,45"
"10/2003","-2,10","-2,30"
"11/2003","1,83","3,26"
"12/2003","0,39","-2,04"
"01/2004","-2,51","1,79"
"02/2004","2,75","-0,92"
"03/2004","-0,85","-0,18"
"04/2004","0,02","1,24"
"05/2004","6,69","6,26"
"06/2004","0,93","-0,69"
"07/2004","-2,95","-2,60"
"08/2004","-1,12","-3,07"
"09/2004","-3,72","-2,56"
"10/2004","-1,32","-0,07"
"11/2004","-2,34","-4,40"
"12/2004","-2,43","-2,79"
"01/2005","-0,93","-1,12"
"02/2005","-3,54","-1,14"
"03/2005","4,12","2,74"
"04/2005","-4,64","-5,06"
"05/2005","-4,90","-5,04"
"06/2005","-1,60","-2,22"
